,관리번호,자치구_x,와이파이명,도로명주소,상세주소,설치위치(층),설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,wifi접속환경,X좌표,Y좌표,작업일자,자치구_y,AP별 이용량(GB),이용량
8586,WF142898,중랑구,면목2동주민센터,중랑구 봉우재로16길 17,면목2동 주민센터 1F 민원실,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.079,37.59,2021-12-14 10:57,중랑구,115.37 GB,115.37 
8587,WF142899,중랑구,면목4동주민센터,중랑구 면목로28길 9-4,면목4동 주민센터 1F 민원실,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.086,37.575,2021-12-14 10:57,중랑구,170.47 GB,170.47 
8588,WF142901,중랑구,면목5동주민센터,중랑구 동일로 622,면목5동 주민센터 1F 민원실,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.08,37.586,2021-12-14 10:57,중랑구,56.97 GB,56.97 
8589,WF142905,중랑구,상봉1동주민센터,중랑구 상봉중앙로3길 12,상봉1동 주민센터 2F 휴게실,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.087,37.6,2021-12-14 10:57,중랑구,52.96 GB,52.96 
8590,WF142907,중랑구,신내1동주민센터,용마산로129나길 35,신내1동 주민센터 1F 민원실,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.099464,37.60587,2021-12-14 10:57,중랑구,0.00 GB,0.00 
8591,WF142909,중랑구,신내2동주민센터,중랑구 봉화산로 190,신내2동 주민센터 3F 민원실,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.094,37.606,2021-12-14 10:57,중랑구,187.89 GB,187.89 
8592,WF142910,중랑구,신내2동주민센터,중랑구 봉화산로 190,신내2동 주민센터 2F 북카페,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.094,37.606,2021-12-14 10:57,중랑구,52.81 GB,52.81 
8593,WF150002,중구,서울시청,중구 세종대로 110 서울시청,8F-A 다목적홀,8,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2018,실내,,126.978355,37.56689,2021-12-14 10:57,중구,76.60 GB,76.60 
8594,WF150003,중구,서울시청,중구 세종대로 110 서울시청,8F-A 다목적홀,8,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2018,실내,,126.978355,37.56689,2021-12-14 10:57,중구,84.47 GB,84.47 
8595,WF150006,중구,서울시청,중구 세종대로 110 서울시청,B3F-C,B5,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,자가망U무선망,2020,실내,,126.978355,37.56689,2021-12-14 10:57,중구,38.57 GB,38.57 
8596,WF151012,강남구,일원동맛의거리,강남구 양재대로29길 6,일원동 686-8(CCTV_일원1-236 C6링),,1. 주요거리,서울시(AP),공공WiFi,임대망,2019,실외,,127.08241,37.489708,2021-12-14 10:57,강남구,0.00 GB,0.00 
8597,WF151164,강동구,암사유적지,강동구 올림픽로 875,괸리사무실 체험교실 1층,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2018,실내,,127.13252,37.562534,2021-12-14 10:57,강동구,19.49 GB,19.49 
8598,WF151189,강북구,북한산우이동등산입구-2,강북구 삼양로173길 66,우이동 181-2 CCTV,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.00954,37.66223,2021-12-14 10:57,강북구,265.89 GB,265.89 
8599,WF151240,강서구,공항시장역2번출구,강서구 방화동로 41,방화동로41,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.811066,37.564377,2021-12-14 10:57,강서구,956.84 GB,956.84 
8600,WF151253,강서구,백연어린이공원,강서구 까치산로 145,화곡동 980-2,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.85192,37.550667,2021-12-14 10:57,강서구,0.00 GB,0.00 
8601,WF151255,강서구,새싹어린이공원,강서구 양천로14길 86,양천로 14길 86,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.80871,37.569412,2021-12-14 10:57,강서구,451.21 GB,451.21 
8602,WF151433,구로구,개봉경로당,구로구 개봉로17나길 62,CCTV 232 (개봉동 305-16),,6-2. 복지 - 노인,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.85197,37.49354,2021-12-14 10:57,구로구,201.19 GB,201.19 
8603,WF151464,구로구,화원어린이공원,구로구 벚꽃로 484,구로2동 478-1 CCTV 2개소,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.880104,37.49753,2021-12-14 10:57,구로구,"1,039.95 GB","1,039.95 "
8604,WF151631,노원구,공릉초교,노원구 동일로173가길 2,노원구 동일로173길 12어린이보호108,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.073906,37.6184,2021-12-14 10:57,노원구,"1,175.85 GB","1,175.85 "
8605,WF151633,노원구,공연초교,노원구 동일로192가길 16,노원구 공릉동 396-1,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.07404,37.62616,2021-12-14 10:57,노원구,236.90 GB,236.90 
8606,WF151635,노원구,당현초교,노원구 동일로213길 52,노원구 동일로213길 52어린이보호112불법주정차095,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.05885,37.648308,2021-12-14 10:57,노원구,210.50 GB,210.50 
8607,WF151641,노원구,보듬이나눔이어린이집,노원구 한글비석로41가길 1,노원구 상계동 159-13(어린이보호19),,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06862,37.662045,2021-12-14 10:57,노원구,93.40 GB,93.40 
8608,WF151647,노원구,상원초교,노원구 한글비석로54길 119,스쿨존 16,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06352,37.664722,2021-12-14 10:57,노원구,197.99 GB,197.99 
8609,WF151649,노원구,상월초교,노원구 동일로 1461,노원구 동일로221길 27,,1. 주요거리,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.05771,37.659195,2021-12-14 10:57,노원구,229.19 GB,229.19 
8610,WF151651,노원구,석계역문화공원,노원구 화랑로 325 (월계동 47-25),주정차57 (석계역교차로),,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.064674,37.614918,2021-12-14 10:57,노원구,786.38 GB,786.38 
